[16/06/2013 13:59:04] | <>           | ----------------------------------------------

[16/06/2013 13:59:30] | <>           | ----------------------------------------------
[16/06/2013 13:59:30] | <INFO>       | -------- Antihack v6.8.6 (C) by Tom94 --------
[16/06/2013 13:59:30] | <>           | ----------------------------------------------
[16/06/2013 13:59:30] | <INFO>       | Attempting to initialize winsock.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Winsock initialized.
[16/06/2013 13:59:30] | <>           | ----------------------------------------------
[16/06/2013 13:59:30] | <INFO>       | Attempting to load the CFG.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Paths loaded from './config.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Connection parameters loaded from './config/connections.ini'. 0x5e
[16/06/2013 13:59:30] | <SUCCESS>    |  * Spamlimiter parameters loaded from './config/spamlimiters.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Detection parameters loaded from './config/detections.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Admin parameters loaded from './config/admin.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Log parameters loaded from './config/log.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Game parameters loaded from './config/game.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  * Language loaded from './lang/ENG.ini'.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Configuration loaded in 26 msec.
[16/06/2013 13:59:30] | <INFO>       | Attempting to load the CMDs.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> 31 CMDs loaded from './config/commands.ini' in 1 msec.
[16/06/2013 13:59:30] | <INFO>       | Attempting to load the bans.
[16/06/2013 13:59:30] | <ERROR>      |  -> Couldn't open './data/banlist.txt'.
[16/06/2013 13:59:30] | <INFO>       | Attempting to load the admins.
[16/06/2013 13:59:30] | <ERROR>      |  -> Couldn't open './data/adminlist.txt'.
[16/06/2013 13:59:30] | <>           | ----------------------------------------------
[16/06/2013 13:59:30] | <INFO>       | Attempting to create the connection socket.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Created connection socket. Descriptor: 184
[16/06/2013 13:59:30] | <INFO>       | Attempting to bind the connection socket.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Connection socket bound to port 15400.
[16/06/2013 13:59:30] | <INFO>       | Attempting to start listening to new connections.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Began listening to new connections.
[16/06/2013 13:59:30] | <>           | ----------------------------------------------
[16/06/2013 13:59:30] | <INFO>       | Attempting to create the net loop thread.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Initialized the net loop.
[16/06/2013 13:59:30] | <INFO>       | Attempting to create the window loop thread.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Initialized the window loop thread.
[16/06/2013 13:59:30] | <INFO>       | Attempting to create the main window.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Created the main window.
[16/06/2013 13:59:30] | <>           | ----------------------------------------------
[16/06/2013 13:59:30] | <INFO>       | Attempting to initialize main loop.
[16/06/2013 13:59:30] | <SUCCESS>    |  -> Initialized the main loop.
[16/06/2013 13:59:31] | <>           | ----------------------------------------------
[16/06/2013 13:59:31] | <SUCCESS>    | Antihack initialized after 160 milliseconds.
[16/06/2013 13:59:31] | <>           | ----------------------------------------------
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:31] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
[16/06/2013 13:59:32] | <WARNING>    | Couldn't open './input.txt'.
